4013.857,15
4033.809,15
4035.460,7
4042.894,50
4044.418,1
4052.921,30
4072.005,70
4072.385,25
4076.628,8
4079.574,12
4082.387,8
4103.912,50
4131.724,100
4156.086,12
4158.590,11
4164.180,1
4179.297,12
4181.884,1
4190.713,3
4191.029,1
4198.317,6
4200.674,11
4218.665,8
4222.637,8
4226.988,8
4228.158,30
4237.220,30
4251.185,1
4259.362,6
4266.286,3
4266.527,25
4272.169,4
4277.528,200
4282.898,7
4300.101,3
4300.650,8
4309.239,25
4331.200,70
4332.030,15
4333.561,3
4335.338,1
4345.168,1
4348.064,250
4352.205,15
4362.066,8
4367.832,15
4370.753,70
4371.329,25
4375.954,15
4379.667,50
4385.057,15
4400.097,25
4400.986,70
4426.001,130
4430.189,50
4430.996,15
4433.838,15
4439.461,7
4448.879,12
4474.759,30
4481.811,70
4510.733,3
4522.323,1
4530.552,7
4545.052,130
4564.405,7
4579.350,130
4589.898,130
4609.567,200
4637.233,12
4657.901,130
4721.591,7
4726.868,200
4732.053,15
4735.906,100
4764.865,250
4806.020,200
4847.810,50
4865.910,15
4879.864,250
4889.042,25
4904.752,7
4933.209,12
4965.080,70
5009.334,15
5017.163,25
5062.037,25
5090.495,7
5141.783,30
5145.308,25
5165.773,8
5187.746,1
5216.814,7
5495.874,1
5558.702,1
5606.733,1
5650.704,1
5888.584,1
5912.085,1
6032.127,2
6043.223,1
6059.372,1
6114.923,30
6172.278,50
6243.120,8
6384.717,1
6416.307,2
6483.082,8
6638.221,8
6639.740,7
6643.698,15
6666.359,8
6677.282,3
6684.293,12
6752.834,4
6861.269,7
6871.289,4
6937.664,1
6965.431,300
7030.251,4
7067.218,300
7068.736,3
7107.478,1
7125.820,1
7147.042,30
7206.980,2
7272.936,60
7311.716,1
7316.005,1
7353.293,2
7372.118,6
7380.426,7
7383.980,300
7392.980,1
7435.368,1
7503.869,600
7514.652,400
7635.106,700
7723.761,400
7724.207,300
7948.176,600
8006.157,600
8014.786,700
8103.693,600
8115.311,1000
8264.522,300
8392.27,1
8408.210,400
8424.648,600
8521.442,400
8667.944,130
8771.860,7
8849.91,5
9075.394,1
9122.967,1000
9194.638,15
9224.499,400
9291.531,11
9354.220,50
9657.786,700
9784.503,130
10052.06,5
10332.72,1
10467.177,30
10470.054,50
10506.50,5
10673.565,6
10683.034,2
10733.87,1
10759.16,1
10812.896,2
11106.46,1
11488.109,11
11668.710,6
12112.326,6
12139.738,1
12343.393,1
12402.827,6
12439.321,6
12456.12,3
12487.663,6
12702.281,4
12733.418,1
12802.739,6
12933.195,1
12956.659,14
13008.264,6
13213.99,6
13228.107,6
13230.90,3
13272.64,14
13313.210,30
13367.111,30
13499.41,1
13504.191,30
13599.333,1
13622.659,11
13678.550,6
13718.577,30
14093.640,6
15046.50,3
15172.69,1
15989.49,1
16519.86,1
16940.58,14
20616.23,1
20986.11,1
23133.20,1
23966.52,1
